Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
C1,0402,1,8.2p,
C10,0402,1,100n,
C11,0402,1,12n,
C12,0402,1,830p,
C15,0402,1,10n,
C16,0402,1,100p,
C17,0402,1,10n,
C18,0402,1,100p,
C2,0402,1,47n,
C20,0402,1,1u,
C21,0402,1,10n,
C22,0402,1,100p,
C23,0402,1,10n,
C24,0402,1,100p,
C25,0402,1,10n,
C26,0402,1,100p,
C27,0402,1,10n,
C28,0402,1,100p,
C29,0402,1,100p,
C3,0402,1,47n,
C30,0402,1,1n,
C31,0402,1,10n,
C32,0402,1,100N,
C33,0402,1,100P,
C34,0402,1,1n,
C35,0402,1,10n,
C36,0402,1,10p,
C37,0402,1,1n,
C38,0402,1,1n,
C39,0402,1,100p,
C4,0402,1,100n,
C40,0402,1,1n,
C41,0402,1,1u,
C5,0402,1,100p,
C6,0402,1,100n,
C7,0402,1,1u,
C8,0402,1,1u,
C9,0402,1,1u,
"FB2, FB3, FB4, FB5",BEADC0603X33N,4,600R,
FL1,Filter_Mini-Circuits_FV1206,1,LFCN-1500,
IC1,VQFN24-4X4,1,PE43711,
J1,LINX_CONSMA002-G,1,SMA,
"J3, J7, J8",PinHeader_1x01_P2.54mm_Vertical,3,Conn_01x01_Socket,
J4,PinSocket_1x01_P2.54mm_Vertical,1,Conn_01x01_Socket,
J5,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
J6,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
L1,0402,1,100n,
R1,0402,1,500R,
R10,0402,1,10K,
R11,0402,1,10K,
R12,0402,1,50,
R13,0402,1,52.3,
R14,0402,1,50,
R15,0402,1,50,
R16,0402,1,10K,
R17,0402,1,10K,
R18,0402,1,10K,
R19,0402,1,10K,
R2,0402,1,1R8,
R20,0402,1,10K,
R21,0402,1,10K,
R22,0402,1,10K,
R23,0402,1,10K,
R3,0402,1,5.1K,
R4,0402,1,10K,
R5,0402,1,90.9,
R6,0402,1,1K,
R7,0402,1,18K,
R8,0402,1,30.1,
R9,0402,1,240,
U1,DFN-8-1EP_2x3mm_P0.5mm_EP0.61x2.2mm,1,AD8319,
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias,1,MAX2871ETJ+T,
U4,DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.5mm,1,TRF37A75,
U5,SON65P200X200X80-7N,1,LP5912-3.3DRVR,
Y1,XTAL_ASA-19.200MHZ-L-T,1,ASA-19.200MHZ-L-T,
