Designator,Mid X,Mid Y,Rotation,Layer
_4,149.288016,-83.96664,0.0,top
_3,149.252267,-90.901942,0.0,top
_2,199.209993,-97.431249,0.0,top
,199.209993,-79.842751,0.0,top
C1,186.825151,-90.446643,0.0,top
C10,166.114916,-93.522309,90.0,top
C11,167.068896,-93.52713,270.0,top
C12,164.467784,-83.833743,90.0,top
C15,158.089515,-84.668103,0.0,top
C16,158.094048,-86.593329,180.0,top
C17,158.104926,-87.561466,180.0,top
C18,158.096493,-85.621124,180.0,top
C2,188.205349,-91.80244,180.0,top
C20,153.462205,-85.957044,180.0,top
C21,169.107317,-85.024893,0.0,top
C22,169.107317,-84.08939,0.0,top
C23,155.808453,-94.234687,270.0,top
C24,156.797835,-94.243955,270.0,top
C25,169.104619,-83.143008,0.0,top
C26,169.098605,-82.176939,0.0,top
C27,157.815815,-94.236393,270.0,top
C28,154.804079,-94.230134,270.0,top
C29,180.118321,-83.789931,90.0,top
C3,179.989467,-92.549045,0.0,top
C30,176.209223,-88.006085,0.0,top
C31,186.092721,-85.835965,270.0,top
C32,179.098184,-83.779225,90.0,top
C33,178.144168,-83.780486,270.0,top
C34,190.173238,-91.304995,270.0,top
C35,185.096396,-85.83796,90.0,top
C36,190.176531,-84.662759,90.0,top
C37,190.149787,-88.004704,180.0,top
C38,183.72153,-88.419001,0.0,top
C39,153.270322,-80.696979,0.0,top
C4,175.553835,-92.021026,90.0,top
C40,169.11913,-85.989499,180.0,top
C41,153.258387,-81.726012,0.0,top
C5,176.513667,-92.020769,90.0,top
C6,153.243763,-79.718489,180.0,top
C7,165.436723,-83.827905,270.0,top
C8,160.566751,-83.836556,270.0,top
C9,161.53896,-83.83016,270.0,top
FB2,169.104281,-81.199815,180.0,top
FB3,153.869076,-94.006506,90.0,top
FB4,187.810044,-84.373068,180.0,top
FB5,155.184339,-85.928262,180.0,top
FL1,172.315169,-89.324699,0.0,top
IC1,179.783025,-87.232574,0.0,top
J1,198.12,-87.973684,90.0,top
J3,160.568786,-79.249125,90.0,top
J4,149.154437,-87.556972,90.0,top
J5,161.96677,-97.128698,270.0,top
J6,179.651368,-79.307068,90.0,top
J7,183.920628,-97.160141,0.0,top
J8,177.808719,-97.150921,0.0,top
L1,190.18944,-86.565442,270.0,top
R1,190.180441,-89.420233,270.0,top
R10,157.945994,-90.624774,90.0,top
R11,156.928744,-90.634651,90.0,top
R12,176.222609,-88.987254,180.0,top
R13,188.960833,-92.834509,180.0,top
R14,170.843317,-85.499823,90.0,top
R15,169.134489,-86.983298,0.0,top
R16,153.946127,-90.624774,90.0,top
R17,154.943624,-90.647276,270.0,top
R18,155.923182,-90.631358,90.0,top
R19,185.0137,-81.93183,180.0,top
R2,187.780097,-85.354095,0.0,top
R20,183.12378,-81.902201,0.0,top
R21,180.236299,-81.894138,180.0,top
R22,187.51603,-96.679428,0.0,top
R23,177.477321,-92.04003,90.0,top
R3,162.47919,-83.851329,270.0,top
R4,164.454753,-95.990247,270.0,top
R5,164.123069,-93.513315,270.0,top
R6,180.003442,-90.3518,180.0,top
R7,180.033768,-91.364479,180.0,top
R8,165.124941,-93.518636,270.0,top
R9,163.481281,-83.857824,90.0,top
U1,183.63679,-91.518719,180.0,top
U2,163.770367,-88.1775,90.0,top
U4,186.992619,-88.272074,0.0,top
U5,154.330209,-83.870311,0.0,top
Y1,155.912333,-81.049496,0.0,top
